title,description,author,content
Coca-Cola to pay $6 billion in IRS back taxes case while appealing judge's decision,Coca-Cola Co. says it will pay $6 billion in back taxes and interest to the Internal Revenue Service while it appeals a federal tax court decision in a case dating back 17 years,KEN RITTER Associated Press,"Coca-Cola Co. said Friday it will pay $6 billion in back taxes and interest to the Internal Revenue Service while it appeals a final federal tax court decision in a case dating back 17 years. The  “The company looks forward to the opportunity to begin the appellate process and, as part of that process, will pay the agreed-upon liability and interest,” it said in a statement. Coca-Cola spokesperson Scott Leith declined additional comment to The Associated Press. U.S. Tax Court Judge Albert Lauber on Friday issued a two-sentence decision and order ending his look at the case. The dispute reached court in December 2015, shortly after the company said it notified the IRS that  In its Friday statement, Coca-Cola accused the IRS of changing how it let the company calculate U.S. income based on profits amounting to more than $9 billion from foreign licensees and affiliates. An IRS spokesperson did not immediately respond Friday to a telephone message from AP about the case. In a Securities and Exchange Commission filing in 2015, Coca-Cola said it had been following the same method to calculate its taxable U.S. income from foreign affiliates for nearly 30 years. In a company  The publicly traded company said it expected that “some or all of (the $6 billion), plus accrued interest, would be refunded” if Coca-Cola wins its appeal. It has 90 days to file appeal documents. Last week, the company raised its full-year sales guidance after reporting a  "
Amazon reports a boost in quarterly profits but misses revenue estimates,Amazon reports a boost in quarterly profits but misses revenue estimates,The Associated Press,SEATTLE --  
Warren Buffett surprises by slashing Berkshire Hathaway's longtime Apple stake in second quarter,Investor Warren Buffett slashed Berkshire Hathaway's massive Apple stake that he once called a pillar of the company that he intended to hold indefinitely,JOSH FUNK AP business writer,"OMAHA, Neb. --  Selling off a big chunk of its Apple holdings was the quarter's biggest news — Buffett once called the company's stake in the iPhone maker a pillar of Berkshire’s business that he intended to hold indefinitely. The other major investment moves Buffett made during the quarter included continued cuts to its investment in Chinese EV maker BYD and selling off some of its Bank of America stock. Berkshire didn't give an exact count of its Apple shares in Saturday's report, but it estimated the investment was worth $84.2 billion at the end of the second quarter even though shares soared over the summer as high as $237.23. At the end of the first quarter, Berkshire's Apple stake was worth $135.4 billion. Berkshire said it earned $30.348 billion, or $21,122 per Class A share, during the second quarter. That's down from $35.912 billion, or $24,775 per A share, a year ago when the paper value of its investment portfolio was up $24.2 billion.  This year the value of the investments Berkshire continues to hold fell $28.2 billion. Buffett has long cautioned investors that it's better to look at Berkshire's operating earnings when judging its performance because those figures exclude investment gains and losses which can vary widely from quarter to quarter.  By that measure, Berkshire's operating earnings grew more than 15% to $11.598 billion, or $8,072.16 per Class A share, from $10.043 billion, or $6,928.40 per Class A share, a year ago. Geico led the improvement of Berkshire's businesses while many of its other companies that are more sensitive to the economy reported lackluster results. The results easily topped the $6,530.25 earnings per share that four analysts surveyed by FactSet Research predicted. Berkshire owns an assortment of insurance businesses along with BNSF railroad, several major utilities and a varied collection of retail and manufacturing businesses, including brands like Dairy Queen and See's Candy. "
Arizona governor negotiates pause in hauling of uranium ore across Navajo Nation,Arizona's governor says a uranium producer has agreed to temporarily pause transport of the mineral through the Navajo Nation after the tribe raised concerns related to a safety plan,The Associated Press,"PHOENIX --  Gov. Katie Hobbs said Friday that she intervened this week after talking with Navajo President Buu Nygren, who had come up with a plan to test a tribal law that bans uranium from being transported on its land. Energy Fuels began hauling the ore Tuesday from its mine south of Grand Canyon National Park to a processing site in Blanding, Utah. When Nygren found out, he ordered tribal police to pull over the trucks and prevent them from traveling further. But by the time police arrived, the semi-trucks had left the reservation. Energy Fuels said in a statement Friday that it agreed to a temporary pause “to address any reasonable concerns” held by Nygren. It recently started  “While Energy Fuels can legally restart transport at any time, pursuant to the current licenses, permits, and federal law, the company understands and respects President Nygren’s concern for his People, and wants to assure them that the company fully complies with all applicable laws and regulations,” the company said. “The U.S. has adopted the highest international standards for the transport of such materials, which are in place to protect human health and the environment.” Energy Fuels isn't legally required to give advance notice. But the Navajo Nation, the U.S. Forest Service, county officials and others says the company verbally agreed to do so — and then reneged on the promise Tuesday.  The Navajo Nation said it wanted to ensure it had time to coordinate emergency preparedness plans and other notifications before hauling began. Energy Fuels said it notified federal, state county and tribal officials about two weeks ago that hauling was imminent and outlined legal requirements, safety and emergency response.  The tribe said it didn't expect hauling to begin for at least another month, based on months of conversations with Energy Fuels. Hobbs said the pause on transporting the ore will allow the company and the tribe “to engage in good faith negotiations.” Arizona Attorney General Kris Mayes also said her office is looking into legal options “to protect the health and safety of all Arizonans.” The tribe passed a law in 2012 to ban the transportation of uranium on the reservation that extends into Arizona, New Mexico and Utah. But the law exempts state and federal highways that Energy Fuels has designated as hauling routes. Mining during World War II and the Cold War left  "
Amazon reports boost in quarterly profits but misses revenue estimates,"Amazon has reported a boost in its quarterly profits, but the company missed revenue estimates, sending its stock lower in after-hours trading",HALELUYA HADERO AP business writer,"Amazon The  Earnings per share for the second quarter came out to $1.26, higher than analysts' expectations of $1.03.  However, investors reacted negatively to other results, leading Amazon shares to fall more than 6% after the closing bell. The company posted revenue of $148 billion, a 10% increase that fell slightly below analyst expectations of $148.67 billion.  Amazon also said it expects revenue for the current quarter, which ends Sept. 30, to be between $154 billion and $158.5 billion — lower than the $158.22 billion forecast by analysts.  Amazon boosted its spending during the COVID-19 pandemic to keep up with higher demand from consumers who became more reliant on online shopping. But as demand cooled and wider economic conditions pressured other parts of its business, the company aggressively cut costs by eliminating unprofitable businesses and laying off more than 27,000 corporate employees.  The cost-cutting has led to growth in profits. However, Amazon is also feeling the benefits of the buzz around generative artificial intelligence, which has helped reaccelerate its  The company said Thursday that Amazon Web Services saw a 19% jump in revenue compared to the same period last year.  “We’re continuing to make progress on a number of dimensions, but perhaps none more so than the continued reacceleration in AWS growth,” Amazon  The cloud computing unit, whose customers are mostly businesses, has been attempting to lure in more customers with new tools, including a service called Amazon Bedrock that provides companies with access to AI models they can use to make their own applications. In April,  But Amazon is also expected to spend more this year to support the unit. During a call with reporters, Chief Financial Officer Brian Olsavsky said the company spent more than $30 billion during the first half of the year on capital expenditures, the majority of it to boost infrastructure for AWS. It expects that to increase during the second half, he said.  Like other tech companies, Amazon has been  “The key for us is always to make sure that we’re matching that supply and demand, and running it efficiently so we don’t have excess capacity,"" Olsavsky said. ""That’s not a concern right now. Our concern is more on getting the supply.”  Meanwhile, revenue for the company’s core e-commerce business grew by 5%, which was more sluggish compared to recent quarters. The numbers did not include sales from Amazon’s annual  Olsavsky said the company came up short on revenue growth in North America because customers were still being cautious with their spending and trading down to cheaper items.  Amazon said sales from its advertising business — which mostly comes from ad listings on its online platform — jumped by 20%. Earlier this year, it began placing ads on movies and TV shows found on its Prime Video service to bring in extra dollars. Last month, Prime Video also became one of three companies to sign an   But the company faces other challenges.  This week, federal regulators said Amazon was  Amazon is also facing an antitrust lawsuit, which alleges it has been overcharging sellers and stifling competition.  Amazon’s results followed other earning reports this week from tech giants such as  "
Intel announces it will cut more than 15% of its workforce as part of a broad cost-reduction program,Intel announces it will cut more than 15% of its workforce as part of a broad cost-reduction program,The Associated Press,SAN FRANCISCO --  
"Chipmaker Intel to cut 15,000 jobs as tries to revive its business and compete with rivals","Chipmaker Intel says it is cutting 15% of its massive workforce — about 15,000 jobs — as it tries to turn its business around to compete with more successful rivals like Nvidia and AMD",BARBARA ORTUTAY AP technology writer,"Chipmaker Intel says it is cutting 15% of its huge workforce — about 15,000 jobs — as it tries to turn its business around to compete with more successful rivals like Nvidia and AMD. In a memo to staff, Intel Corp. CEO Pat Gelsinger said Thursday the company plans to save $10 billion in 2025. “Simply put, we must align our cost structure with our new operating model and fundamentally change the way we operate,” he wrote in the  The job cuts come in the heels of a disappointing quarter and forecast for the iconic chip maker founded in 1968 at the start of the PC revolution.  Next week, Gelsinger wrote, Intel will announce an “enhanced retirement offering” for eligible employees and offer an application program for voluntary departures.  “These decisions have challenged me to my core, and this is the hardest thing I’ve done in my career,” he said. The bulk of the layoffs are expected to be completed this year.  The Santa Clara, California-based company is also suspending its stock dividend as part of a broader plan to cut costs.  Intel reported a loss for its second quarter along with a small revenue decline, and it forecast third-quarter revenues below Wall Street's expectations.  Its stock plunged 19% in after-hours trading, indicating that Intel could lose roughly $24 billion of its market value when the stock market opens Friday. The company posted a loss of $1.6 billion, or 38 cents per share, in the April-June period. That's down from a profit of $1.5 billion, or 35 cents per share, a year earlier. Adjusted earnings excluding special items were 2 cents per share. Revenue slid 1% to $12.8 billion from $12.9 billion.  Analysts, on average, were expecting earnings of 10 cents per share on revenue of $12.9 billion, according to a poll by FactSet.  “Intel’s announcement of a significant cost-cutting plan including layoffs may bolster its near-term financials, but this move alone is insufficient to redefine its position in the evolving chip market,"" said eMarketer analyst Jacob Bourne. “The company faces a critical juncture as it leverages U.S. investment in domestic manufacturing and the surging global demand for AI chips to establish itself in chip fabrication.” Gelsinger noted in a conference call with analysts that Intel has previously said that its investments in the AI PC market would pressure its profit margins over the short term but should benefit the company in the long term. “We believe the trade-offs are worth it. The AI PC will grow from less than 10% of the market today to greater than 50% in 2026,” he said. Unlike its rivals like Nvidia, Intel manufactures chips in addition to designing them. It has been working to build up its foundry business making semiconductors in the U.S., competing with rivals such as market leader Taiwan Semiconductor Manufacturing Co. or TSMC. Helped by Gelsinger's lobbying efforts since he took the company's helm in 2021, Intel has been a major beneficiary of the 2022 CHIPS and Science Act. The Biden administration helped shepherd that through Congress amid concerns after the pandemic that the loss of access to chips made in Asia could plunge the U.S. economy into recession. In March,  In September 2022, Biden praised Intel as a job creator with its plans to open a new plant near Columbus, Ohio. The president praised the company for plans to “build a workforce of the future” for the $20 billion project, which he said would generate 7,000 construction jobs and 3,000 full-time jobs set to pay an average of $135,000 a year. “The U.S. government wants to reinvigorate domestic manufacturing, especially this is the area of advanced computer chips,” Bourne said. “And Intel has been kind of earmarked for this money. But there’s a lot of infrastructure that goes into this, there’s the building of these facilities, which are really highly specialized — and then you also need to upskill the local workforce where these plants are located. And so it takes time. This is not something that happens overnight.”  —— Associated Press Writer Josh Boak contributed from Washington. "
MrBeast's giant reality competition faces safety complaints from initial contestants,"YouTube’s biggest star MrBeast is facing complaints about the safety of contestants from the preliminary round of his ambitious “Beast Games” game show, which boasts 1,000 competitors hoping for a $5 million grand prize",THALIA BEATY Associated Press,"NEW YORK --  Some contestants complained online and to other YouTube influencers that they lacked regular access to food, water and medication during early production at Allegiant Stadium in Las Vegas, and that some competitors were injured during the production.  A spokesperson for MrBeast said his team is reviewing the process and soliciting attendees’ feedback ahead of the next phase of production in Toronto. The stakes for “Beast Games” aren't just high for the contestants, but for MrBeast himself, whose real name Jimmy Donaldson, as well as the recipients of his brand of “stunt philanthropy"" that often entails direct gifts of cash or even houses. The complaints about the “Beast Games” production coincide with Donaldson’s  The show, which has already been picked up by Amazon Prime Video to air in 240 countries, is part of Donaldson's cultural expansion beyond YouTube — where his channel has 307 million subscribers, including countless young consumers who already purchase his Feastables line of candy or the burgers that bear his name. “My goal is to make the greatest show possible and prove YouTubers and creators can succeed on other platforms,” Donaldson said in a  Donaldson’s companies cast 2,000 people to take part in an initial tryout of sorts at Allegiant Stadium in July, with 1,000 of them presumably advancing to the actual show. Amazon Prime Video was not involved and did not respond to a request for comment. A MrBeast spokesperson said Friday that the promotional video shoot was “unfortunately complicated” by extreme weather, the  We “have taken steps to ensure that we learn from this experience and we are excited to welcome hundreds of men and women to the world’s largest game show in history,” the spokesperson said in an emailed statement. MrBeast offered eliminated contestants $1,000 upon leaving the competition and the spokesperson said most of those who remain in contention are ready to keep going. Some contestants expected challenges similar to those from the dystopian Netflix show “Squid Game,” a fictional series — and eventual reality game show — where deeply indebted people compete for millions in high-stakes children’s games. The Associated Press reached out to several contestants about “Beast Games,” but most either did not respond or declined to speak on the record because they had signed nondisclosure agreements. Scott Leopold, a 53-year-old father from Austin, Texas, told the AP he thought he was competing in the actual “Beast Games,” not a precursor to the show. He said he felt deceived about his chances of winning and that the competition in Las Vegas would not stream on Amazon Prime Video. He said that Donaldson should not be “villainized” but added that “an apology would go a long way.” “All I can conclude is that he was in over his head,” Leopold said. “There were too many people, and I don’t think he knew how to handle the situation.” Nancy Libby, a Navy veteran from California who said she was one of the last people eliminated, told AP that she applied after seeing a casting call on Facebook. Her daughters watch MrBeast videos, she said, and she’d already planned to take off work anyway. On-set conditions met her expectations. Libby said she was instructed by recruiters beforehand to watch previous MrBeast challenges to gain some understanding of the experience. Because of that, she said, she was unsurprised by meals of oatmeal and nights spent sleeping on the floor. Libby said that “crowd control” was an issue at times and that more staffing could help ensure competitors do not injure their counterparts. But Libby said the MrBeast team appeared to take safety seriously and that she only witnessed rude behavior from outside contractors. “Sometimes when you run things that are first of their kind, things come up that you can’t foresee,” Libby said. “I think that the template was there for a really good competition.” MrBeast has also previously had some contentious relationships with its contractors. One of Donaldson’s companies sued and then was countersued by a vendor they worked with on the “MrBeast Burger"" that got widely panned. Fans have also previously complained about not receiving merchandise they ordered from MrBeast or receiving the wrong items or wrong sizes. A vendor working with MrBeast to ship some of those orders acknowledged in an  ___ Associated Press coverage of philanthropy and nonprofits receives support through the AP’s collaboration with The Conversation US, with funding from Lilly Endowment Inc. The AP is solely responsible for this content. For all of AP’s philanthropy coverage, visit  "
About half of US state AGs went on France trip sponsored by group with lobbyist and corporate funds,About half the U.S. state attorneys general have traveled to France for an event cosponsored by a group largely funded by companies,GEOFF MULVIHILL Associated Press,"About half the U.S. state attorneys general traveled to France in a trip cosponsored by a group mostly funded by companies, including some under scrutiny of the top state lawyers. Attorneys general are among the most visible officials in state governments and the job can be a launching pad to the world stage. Vice President Kamala Harris, the presumptive Democratic presidential nominee, previously held the post in California. Joining together gives AGs a chance to share concerns, develop bonds and strategies and talk with officials in other countries. The trips can be posh and provide opportunities for company lobbyists to rub elbows with them. Companies that have picked up the bill and sent representatives in recent years have been from the pharmaceutical, auto, financial, online gaming and tech industries, among others. Organizers said this summer's trip is “solely focused on commemorating and paying tribute to the achievements and sacrifices of those who fought in Normandy,” even though they are taking place nearly two months after the 80th anniversary of the D-Day invasion on June 6, which was commemorated by a gathering of world leaders. The National Association of Attorneys General, known as AGA, a century-old organization that cosponsored the trip to France for attorneys general, would not provide dates for the event, but one AG said it was set for July 29 to Aug. 3. The trip illuminates how corporate lawyers and lobbyists can gain access to officials who regulate their businesses with help from the Attorney General Alliance, one of the groups behind the event. “Lobbyists essentially fund these trips,” said Christopher Toth, a former AGA executive director. “They funnel the money through AGA, and then that insulates the AGs from being criticized that they’re taking money from lobbyists.” It also shields them from criticism that they are traveling abroad on taxpayers' dime. The AGA said 26 attorneys general were going on the trip. The nonprofit group said  The group said it would not make public the 2024 schedule or exactly which AGs were attending in France because of security concerns. “This event, like all others, was scheduled based on availability of attorneys general and hotel  Maestas declined to answer whether any of the corporate sponsors were giving attorneys general tickets to Olympic games. Oregon Attorney General Ellen Rosenblum, a Democrat, said she would be attending an Olympic soccer game in addition to the Normandy events and that the tickets, and a few days of a vacation in France with her husband, would be at her expense. Other AGs said they would not attend the games or ignored queries from The Associated Press. Attorneys general are the chief government lawyers in their states. All of them have roles in consumer protection and many in law enforcement. They are elected in 43 states and appointed in the other seven. A big shift in the job began in the 1990s, when the states banded together to sue the tobacco industry over dangers caused by smoking. The deal opened the door for other huge multistate lawsuits and  That use of the office — ensuring corporate accountability — gave rise to other developments. Now, some major law firms have departments specializing in representing companies that come under the scrutiny of AGs. Those departments, which frequently employ former AGs or their deputies, have all the motivation to lobby people in the job, as do the companies they represent. Over time, the Conference of Western Attorneys General expanded its core topics from largely regional concerns such as water resources and challenges facing Native American communities to a broader range of issues and in 2019 they created the nationwide AGA. The group's tax filings show it both brought in and spent about $10 million from July 2022 through June 2023. More than $6 million in expenses were on travel, conferences and meetings and events. Much of the organization's revenue has come in the form of sponsorships. While the tax filings do not list the donors, an AGA brochure from 2023, provided by a lawyer specializing in AG practice who requested anonymity because of fear of professional retribution, shows how it works: Corporate sponsors could send more people to AGA events by contributing more money. For instance, $20,000 contributors could have three seats at events during the year. Those who gave $150,000 could have 30. More than 200 companies were listed as sponsors at various levels.  The AGA did not respond to questions about the brochure. “With the AGA, you have these regulated industries outright giving money to the organization,” said Paul Nolette, a Marquette University political scientist who studies AGs. Brian Frosh, a Democrat who served as Maryland’s attorney general from 2015 until last year, said he recalled attending just one or two of the group's dinners early in his time in office but he did not attend any of the larger events, which have included international trips to China, Morocco, Ireland and elsewhere. “The dinners that I went to, you would sit next to a lobbyist for a different interest,” Frosh said. “And then you’d get up and move to another table. I didn’t find that to be enjoyable or educational.” A 2021 version of the AGA publication shows two companies contributed at least $500,000 that year: Amazon and Pfizer.  Both have come under scrutiny from AGs. Last year, 17 attorneys general joined with the Federal Trade Commission  Drugmaker Pfizer has faced legal action from AGs on multiple fronts. Texas AG Ken Paxton sued last year, claiming the company misrepresented the effectiveness of its COVID-19 vaccines and tried to censor public discourse about it. Pfizer also has been a target of multiple AG lawsuits over drug prices. Colin Provost, an associate professor of public policy at University College London who studies U.S. state AGs, said events where they mingle with lobbyists don't necessarily help companies get the outcomes they hope for. “The optics are often not good,” he said. “In terms of actually proving that this has sort of a corrupting influence, that’s harder to do.” ___ Associated Press reporters from around the U.S. contributed to this article. "
"How major US stock indexes fared Thursday, 8/1/2024",U.S. stocks tumbled after weak data raised worries the Federal Reserve may have missed its window to cut interest rates before undercutting the economy’s growth,The Associated Press,"U.S. stocks tumbled after weak data raised worries the Federal Reserve may have missed its window to cut interest rates before undercutting the economy’s growth.  The S The action was even stronger in the bond market, where the yield on the 10-year Treasury sank below 4% after data showed more U.S. workers applied for unemployment benefits last week. Wall Street’s losses would have been worse if not for a strong profit report from Meta Platforms.  On Thursday: The S The Dow Jones Industrial Average fell 494.82 points, or 1.2%, to 40,347.97.  The Nasdaq composite fell 405.25 points, or 2.3%, to 17,194.15. The Russell 2000 index of smaller companies fell 68.32 points, or 3%, to 2,186.16. For the week: The S The Dow is down 241.37 points, or 0.6%. The Nasdaq is down 163.74 points, or 0.9%. The Russell 2000 is down 73.91 points, or 3.3%. For the year: The S The Dow is up 2,658.43 points, or 7.1%. The Nasdaq is up 2,182.79 points, or 14.5%. The Russell 2000 is up 159.09 points, or 7.8%. "
